기준일ID,시간대구분,시군구명,읍면동명,총생활인구수,남자 10대,남자 20대,남자 30대,남자 40대,남자 50대,남자 60대,남자 70대,여자 10대,여자 20대,여자 30대,여자 40대,여자 50대,여자 60대,여자 70대
평일(7월5일),0,은평구,대조동,37548.6518,797.956,1525.9338,1592.8787,1414.6249,1098.6384,724.9636,1998.3715,915.0048,1698.8841,1461.7967,1618.1185,1655.3921,1235.0891,3585.8948
평일(7월5일),0,은평구,응암제1동,26550.3768,1039.0792,731.5257,1101.4495,999.4708,810.9989,537.5398,1253.8739,1177.4839,906.1017,1128.2771,1053.7801,964.1199,726.3234,2153.4956
평일(7월5일),0,은평구,응암제2동,19896.0964,503.3288,496.9879,1004.8656,814.8033,614.5532,405.9171,752.199,484.8926,557.5133,1118.7167,869.4132,760.1823,543.5545,1609.4792
평일(7월5일),0,은평구,응암제3동,27464.6794,709.6937,1040.3817,1306.4974,1070.1485,928.5596,576.7723,1398.3071,649.4644,1079.4903,1138.1455,1148.3626,1172.965,855.8758,2242.4444
평일(7월5일),0,은평구,역촌동,53095.3427,1414.9733,1608.9105,2170.8495,2099.2989,1758.3162,1087.1084,2358.0629,1354.3095,2041.1098,2304.9257,2432.5627,2264.783,1640.6029,4351.2641
평일(7월5일),0,은평구,신사제1동,25518.0389,743.1977,828.9836,988.7432,981.9525,919.0242,584.0903,1180.3531,631.2112,942.0665,968.9419,1123.4167,1243.7189,738.0439,1956.7657
평일(7월5일),0,은평구,신사제2동,20733.2137,659.909,595.9267,746.6774,807.9999,797.8231,495.8008,1079.6704,477.1146,627.604,668.7098,838.9072,1022.1116,636.3862,1631.3934
평일(7월5일),0,은평구,증산동,14550.1566,361.8694,425.5128,541.7678,537.6457,514.0307,397.0929,868.5307,353.2998,454.588,555.168,633.359,663.1153,494.0333,1143.3787
평일(7월5일),0,은평구,수색동,12250.4401,289.8303,425.1044,496.9972,546.6385,467.3091,373.794,593.2543,245.2356,428.1812,385.3617,467.724,471.3134,402.2409,1106.3706
평일(7월5일),0,은평구,진관동,63026.6761,2211.0027,1386.3444,2102.1844,3234.8882,2012.1051,1259.5309,2654.4282,1959.2336,1867.2837,2840.772,2821.8995,2350.8749,1567.2658,4694.5565
평일(7월5일),0,서대문구,천연동,18168.1866,458.1551,537.0104,733.4325,791.8345,662.7345,349.6471,1052.0316,481.4337,615.0614,718.6334,764.062,767.7287,520.3735,1609.0075
평일(7월5일),0,서대문구,북아현동,27110.1481,481.011,956.3561,1446.8034,1146.3656,993.1408,393.3311,963.6798,499.0624,1225.3075,1179.1585,1047.0594,1109.7411,603.9557,1797.1841
평일(7월5일),0,서대문구,충현동,35796.9069,801.4764,1412.5021,1545.6928,1650.8413,1223.5055,642.494,1575.9611,1070.1666,1732.9766,1614.5375,1371.5388,1280.8188,856.7484,2832.4063
평일(7월5일),0,서대문구,신촌동,50482.3358,1111.3317,3839.6204,1653.3056,1293.9615,1189.6884,592.3872,1527.3709,1913.3444,4848.918,1603.1513,1267.9737,1183.7143,963.2523,2192.3505
평일(7월5일),0,서대문구,연희동,45926.9441,979.2203,2811.1674,1657.2766,1695.3947,1268.8121,790.4503,2102.4686,1083.5361,2636.3757,1798.7167,1712.4676,1512.9038,1106.1004,3258.9435
평일(7월5일),0,서대문구,홍제제1동,31853.965,799.2306,897.1746,968.0646,1260.9747,1220.9142,771.9255,1739.4681,894.5802,957.6315,1160.5172,1285.8147,1530.1192,895.7798,2808.2265
평일(7월5일),0,서대문구,홍제제3동,18795.4479,548.7854,583.188,516.397,773.5436,638.5232,432.7664,993.3239,557.8044,616.0788,611.9151,885.7893,803.1273,655.7175,1921.1377
평일(7월5일),0,서대문구,홍제제2동,9936.0757,218.4368,290.7709,310.3179,352.9155,371.6331,237.4285,603.6856,262.0975,329.983,397.8055,417.1162,471.6269,265.3385,1073.0378
평일(7월5일),0,서대문구,홍은제1동,17479.4043,615.014,490.3938,552.4475,678.1324,749.5041,416.6138,1017.9207,595.5434,614.3427,554.0458,781.8208,755.6688,495.9431,1508.1906
평일(7월5일),0,서대문구,홍은제2동,28631.0221,894.0718,972.7299,1069.0253,1248.0077,948.7576,613.5776,1394.9231,844.6974,1077.6952,1007.2183,1251.2869,1125.2633,785.9909,2448.027
평일(7월5일),0,서대문구,남가좌제1동,17682.936,384.7708,376.4533,730.9459,690.9544,526.2535,242.8025,833,384.5295,495.8937,931.0976,713.9611,609.5622,441.0548,1088.2784
평일(7월5일),0,서대문구,남가좌제2동,20798.0376,595.043,897.3827,651.2538,807.9897,604.2663,406.4473,1055.9282,617.9687,763.561,798.7352,873.6979,783.4566,615.7972,1772.1584
평일(7월5일),0,서대문구,북가좌제1동,16190.3212,434.8398,452.9683,592.6718,736.9032,594.6427,371.1513,756.7597,430.7047,544.4529,774.0759,739.679,687.1593,453.3035,1266.4952
