사업장명,소재지전체주소,시군구명,읍면동명,소재지면적,시설총규모,전화번호,위치정보(X),위치정보(Y)
영자,서울특별시 노원구 하계동 180-21번지 ,노원구,하계동,39.56,39.56,9770344,206227.3272,459561.6899
깜닭치킨,서울특별시 노원구 하계동 213-18번지 외 1 ,노원구,하계동,69.06,69.06,29713315,206224.3933,460081.5964
비틀즈,"서울특별시 노원구 하계동 213-1번지 타임빌딩 3,4층 ",노원구,하계동,240.06,240.06,7040463336,206197.4001,460124.913
치킨더플,서울특별시 노원구 하계동 236-5번지 ,노원구,하계동,52.16,52.16,29774489,206184.8228,460137.3748
교촌치킨,서울특별시 노원구 하계동 251번지 청구(아)상가 201동 101호 ,노원구,하계동,27.84,27.84,,206326.4958,459836.9842
케이준치킨,서울특별시 노원구 하계동 251번지 청구(아)상가 205동 104호,노원구,하계동,28.08,28.08,29787711,206222.008,460136.3832
송림,서울특별시 노원구 하계동 256-13번지 ,노원구,하계동,34.45,34.45,29498889,206515.8474,460038.5521
쿡앤비어조아조아,서울특별시 노원구 하계동 256-13번지 삼정 이오니아동 111호,노원구,하계동,53,53,,206515.8474,460038.5521
골마을,서울특별시 노원구 하계동 256-13번지 삼정이오니아 110호 ,노원구,하계동,63.8,63.8,,206515.8474,460038.5521
페리카나,서울특별시 노원구 하계동 256번지 중계주공9단지아파트 104호,노원구,하계동,33.42,18.58,,206503.5793,460281.2851
치킨신드롬,서울특별시 노원구 하계동 270번지 우성상가 109호,노원구,하계동,16.53,16.53,29771572,205958.3641,459862.8158
치킨빡스,서울특별시 노원구 하계동 272번지 시영5단지 상가 104호,노원구,하계동,16.5,16.5,,205857.0223,459365.6474
꾸꾸루꾸,서울특별시 노원구 하계동 273번지 6단지상가 115호,노원구,하계동,26.91,26.91,,205924.8748,459274.8573
에디슨치킨,서울특별시 노원구 하계동 273번지 6단지상가101-4 ,노원구,하계동,22.44,22.44,,206085.675,459502.6042
유진바베큐,서울특별시 노원구 하계동 273번지 시영6단지 116호,노원구,하계동,23.8,23.8,209795531,205924.8748,459274.8573
멕시칸,서울특별시 노원구 하계동 273번지 장미아파트상가 110호,노원구,하계동,24.22,24.22,02  949 7456,205924.8748,459274.8573
족과의 동침,서울특별시 노원구 하계동 273번지 장아마파트 6단지상가동 101호,노원구,하계동,46.2,46.2,29729974,206085.675,459502.6042
영구네양념통닭,서울특별시 노원구 하계동 274-1번지 웅천상가 104호 ,노원구,하계동,20.77,20.77,209712727,206274.162,459284.8476
88핫도그 쥬씨하계점,서울특별시 노원구 하계동 287번지 ,노원구,하계동,35.67,35.67,,206200.8838,460213.6861
"ICG치킨버거,웰덤치킨",서울특별시 노원구 하계동 287번지 ,노원구,하계동,22.42,22.42,02 9781396,206200.8838,460213.6861
디오니스,서울특별시 노원구 하계동 288번지 현대2차(아)상가 101호 ,노원구,하계동,39.6,39.6,,206276.3237,460618.5062
굿모닝치킨호프,서울특별시 노원구 하계동 354-0번지 청구학여울상가201동1층28호 ,노원구,하계동,63.2,63.2,29772523,205690.4703,459225.5518
후원더키친,서울특별시 노원구 하계동 61-22번지 1층 ,노원구,하계동,90.6,90.6,7047636546,206643.3205,459662.469
